"uid"	"city_name"	"offense_code"	"offense_type"	"offense_group"	"offense_against"	"date_single"	"longitude"	"latitude"	"location_type"	"location_category"	"census_block"	"date_start"	"date_end"
"53"	1194351	"Austin"	"22U"	"other burglary/breaking & entering"	"burglary/breaking & entering"	"property"	2018-01-31 09:28:00	-97.727945	30.237702	"residence"	"residence"	"484530023161002"	NA	NA
"54"	1194479	"Austin"	"90E"	"drunkenness (except driving under the influence)"	"drunkenness (except driving under the influence)"	"society"	2018-01-31 21:11:00	-97.689569	30.3185	"vehicle parking"	"open space"	"484530021121007"	NA	NA
"55"	1194498	"Austin"	"520"	"weapon law violations"	"weapon law violations"	"society"	2018-01-31 23:28:00	-97.703194	30.336902	"vehicle parking"	"open space"	"484530018041002"	NA	NA
"56"	1194539	"Austin"	"13A"	"aggravated assault"	"assault offenses"	"persons"	2018-02-01 07:00:00	-97.698	30.306401	"residence"	"residence"	"484530021051002"	NA	NA
"57"	1194583	"Austin"	"23H"	"all other larceny"	"larceny/theft offenses"	"property"	2018-02-01 12:00:00	-97.756926	30.263187	"residence"	"residence"	"484530013031017"	NA	NA
"58"	1194798	"Austin"	"23H"	"all other larceny"	"larceny/theft offenses"	"property"	2018-02-02 04:34:00	-97.75064	30.258209	"vehicle parking"	"open space"	"484530013051010"	NA	NA
"59"	1194831	"Austin"	"23H"	"all other larceny"	"larceny/theft offenses"	"property"	2018-02-02 10:57:00	-97.733639	30.26671	"gas station"	"retail"	"484530009012014"	NA	NA
"60"	1195244	"Austin"	"240"	"motor vehicle theft"	"motor vehicle theft"	"property"	2018-02-04 02:00:00	-97.722605	30.28996	"hotel"	"hotel"	"484530004011011"	NA	NA
"61"	1195328	"Austin"	"13B"	"simple assault"	"assault offenses"	"persons"	2018-02-04 15:00:00	-97.749749	30.248997	"street"	"street"	"484530014012005"	NA	NA
"62"	1195336	"Austin"	"23H"	"all other larceny"	"larceny/theft offenses"	"property"	2018-02-04 16:00:00	-97.78336	30.244197	"residence"	"residence"	"484530019012009"	NA	NA
"63"	1195359	"Austin"	"90Z"	"all other offenses"	"all other offenses"	"other"	2018-02-04 18:00:00	-97.777863	30.190841	"residence"	"residence"	"484530024222002"	NA	NA
"64"	1195394	"Austin"	"13A"	"aggravated assault"	"assault offenses"	"persons"	2018-02-04 21:55:00	-97.741983	30.223561	"residence"	"residence"	"484530023071005"	NA	NA
"65"	1195478	"Austin"	"90Z"	"all other offenses"	"all other offenses"	"other"	2018-02-05 10:00:00	-97.685284	30.28253	"residence"	"residence"	"484530021092015"	NA	NA
"66"	1195489	"Austin"	"90Z"	"all other offenses"	"all other offenses"	"other"	2018-02-05 11:00:00	-97.679757	30.32069	"street"	"street"	"484530021122002"	NA	NA
"67"	1195542	"Austin"	"90E"	"drunkenness (except driving under the influence)"	"drunkenness (except driving under the influence)"	"society"	2018-02-05 15:20:00	-97.688358	30.359794	"hotel"	"hotel"	"484530018233001"	NA	NA
"68"	1195788	"Austin"	"26B"	"credit card/automated teller machine fraud"	"fraud offenses (except counterfeiting/forgery and bad checks)"	"property"	2018-02-06 17:30:00	-97.664097	30.33292	"other"	"other"	"484530018341021"	NA	NA
"69"	1195855	"Austin"	"90Z"	"all other offenses"	"all other offenses"	"other"	2018-02-07 00:00:00	-97.735915	30.237927	"residence"	"residence"	"484530014031006"	NA	NA
"70"	1195876	"Austin"	"90D"	"driving under the influence"	"driving under the influence"	"society"	2018-02-07 02:32:00	-97.757197	30.272989	"street"	"street"	"484530012003005"	NA	NA
"71"	1196191	"Austin"	"290"	"destruction/damage/vandalism of property (except arson)"	"destruction/damage/vandalism of property (except arson)"	"property"	2018-02-08 18:30:00	-97.791562	30.258364	"residence"	"residence"	"484530019111019"	NA	NA
"72"	1196424	"Austin"	"90E"	"drunkenness (except driving under the influence)"	"drunkenness (except driving under the influence)"	"society"	2018-02-09 18:10:00	-97.73619	30.266547	"street"	"street"	"484530011001102"	NA	NA
"73"	1196517	"Austin"	"90D"	"driving under the influence"	"driving under the influence"	"society"	2018-02-10 02:16:00	-97.827151	30.17398	"street"	"street"	"484530017482009"	NA	NA
"74"	1196529	"Austin"	"90J"	"trespass of real property"	"trespass of real property"	"society"	2018-02-10 03:52:00	-97.746644	30.265331	"hotel"	"hotel"	"484530011001118"	NA	NA
"75"	1196541	"Austin"	"90Z"	"all other offenses"	"all other offenses"	"other"	2018-02-10 07:31:00	-97.664534	30.317126	"residence"	"residence"	"484530021131002"	NA	NA
"76"	1196675	"Austin"	"90C"	"disorderly conduct"	"disorderly conduct"	"society"	2018-02-10 22:53:00	-97.723028	30.302183	"street"	"street"	"484530003023012"	NA	NA
"77"	1196821	"Austin"	"23F"	"theft from motor vehicle (except theft of motor vehicle parts or accessories)"	"larceny/theft offenses"	"property"	2018-02-11 20:00:00	-97.69537	30.409778	"residence"	"residence"	"484530018262004"	NA	NA
"78"	1196964	"Austin"	"23H"	"all other larceny"	"larceny/theft offenses"	"property"	2018-02-12 14:20:00	-97.745495	30.188588	"other transportation"	"transportation"	"484530024121013"	NA	NA
"79"	1197041	"Austin"	"23H"	"all other larceny"	"larceny/theft offenses"	"property"	2018-02-12 20:00:00	-97.750493	30.288688	"residence"	"residence"	"484530006032006"	NA	NA
"80"	1197213	"Austin"	"35A"	"drug/narcotic violations"	"drug/narcotic offenses"	"society"	2018-02-13 17:04:00	-97.73619	30.266547	"street"	"street"	"484530011001102"	NA	NA
"81"	1197472	"Austin"	"23H"	"all other larceny"	"larceny/theft offenses"	"property"	2018-02-14 20:53:00	-97.764686	30.245287	"residence"	"residence"	"484530013052008"	NA	NA
"82"	1197509	"Austin"	"13A"	"aggravated assault"	"assault offenses"	"persons"	2018-02-15 00:15:00	-97.776573	30.214479	"street"	"street"	"484530024021006"	NA	NA
"83"	1197515	"Austin"	"23H"	"all other larceny"	"larceny/theft offenses"	"property"	2018-02-15 01:15:00	-97.74217	30.234278	"convenience store"	"retail"	"484530023081007"	NA	NA
"84"	1197655	"Austin"	"90F"	"family offenses, nonviolent"	"family offenses, nonviolent"	"society"	2018-02-15 18:00:00	-97.707284	30.356123	"residence"	"residence"	"484530018052014"	NA	NA
"85"	1198003	"Austin"	"90C"	"disorderly conduct"	"disorderly conduct"	"society"	2018-02-17 02:49:00	-97.680417	30.359558	"residence"	"residence"	"484530018333030"	NA	NA
"86"	1198038	"Austin"	"23F"	"theft from motor vehicle (except theft of motor vehicle parts or accessories)"	"larceny/theft offenses"	"property"	2018-02-17 10:30:00	-97.737527	30.249709	"green space"	"open space"	"484530014021006"	NA	NA
"87"	1198331	"Austin"	"290"	"destruction/damage/vandalism of property (except arson)"	"destruction/damage/vandalism of property (except arson)"	"property"	2018-02-18 17:20:00	-97.774877	30.205933	"other"	"other"	"484530024021014"	NA	NA
"88"	1198399	"Austin"	"23F"	"theft from motor vehicle (except theft of motor vehicle parts or accessories)"	"larceny/theft offenses"	"property"	2018-02-19 00:00:00	-97.749373	30.196048	"residence"	"residence"	"484530024113004"	NA	NA
"89"	1199145	"Austin"	"23H"	"all other larceny"	"larceny/theft offenses"	"property"	2018-02-22 13:04:00	-97.767982	30.190369	"government"	"government"	"484530024192008"	NA	NA
"90"	1199209	"Austin"	"13A"	"aggravated assault"	"assault offenses"	"persons"	2018-02-22 18:14:00	-97.713345	30.284782	"residence"	"residence"	"484530004022009"	NA	NA
"91"	1199217	"Austin"	"13A"	"aggravated assault"	"assault offenses"	"persons"	2018-02-22 19:11:00	-97.643947	30.297908	"residence"	"residence"	"484530022082000"	NA	NA
"92"	1199409	"Austin"	"26B"	"credit card/automated teller machine fraud"	"fraud offenses (except counterfeiting/forgery and bad checks)"	"property"	2018-02-23 16:36:00	-97.707941	30.318264	"gas station"	"retail"	"484530021053011"	NA	NA
"93"	1199463	"Austin"	"35A"	"drug/narcotic violations"	"drug/narcotic offenses"	"society"	2018-02-23 20:58:00	-97.739826	30.267556	"street"	"street"	"484530011001095"	NA	NA
"94"	1199587	"Austin"	"90Z"	"all other offenses"	"all other offenses"	"other"	2018-02-24 12:00:00	-97.806904	30.460992	"residence"	"residence"	"484910204031016"	NA	NA
"95"	1199849	"Austin"	"240"	"motor vehicle theft"	"motor vehicle theft"	"property"	2018-02-25 17:30:00	-97.761961	30.264727	"vehicle parking"	"open space"	"484530013031004"	NA	NA
"96"	1200077	"Austin"	"90Z"	"all other offenses"	"all other offenses"	"other"	2018-02-26 17:42:00	-97.848176	30.396783	"street"	"street"	"484530017141047"	NA	NA
"97"	1200144	"Austin"	"290"	"destruction/damage/vandalism of property (except arson)"	"destruction/damage/vandalism of property (except arson)"	"property"	2018-02-26 22:27:00	-97.697641	30.273931	"restaurant"	"leisure"	"484530021092013"	NA	NA
