"","cmplnt_num","addr_pct_cd","boro_nm","cmplnt_fr_dt","cmplnt_fr_tm","cmplnt_to_dt","cmplnt_to_tm","crm_atpt_cptd_cd","hadevelopt","housing_psa","jurisdiction_code","juris_desc","ky_cd","law_cat_cd","loc_of_occur_desc","ofns_desc","parks_nm","patrol_boro","pd_cd","pd_desc","prem_typ_desc","rpt_dt","station_name","susp_age_group","susp_race","susp_sex","transit_district","vic_age_group","vic_race","vic_sex","x_coord_cd","y_coord_cd","latitude","longitude","lat_lon"
"841",844309806,75,"BROOKLYN","2019-02-25T00:00:00.000","19:00:00","2019-02-25T00:00:00.000","19:45:00","COMPLETED","",NA,0,"N.Y. POLICE DEPT",578,"VIOLATION","INSIDE","HARRASSMENT 2","","PATROL BORO BKLYN NORTH",638,"HARASSMENT,SUBD 3,4,5","GROCERY/BODEGA","2019-02-25T00:00:00.000","","UNKNOWN","UNKNOWN","U",NA,"UNKNOWN","UNKNOWN","D",1017749,180248,40.661360679,-73.879258826,"(40.661360679, -73.879258826)"
"842",906167687,109,"QUEENS","2019-01-02T00:00:00.000","10:30:00","2019-01-03T00:00:00.000","08:30:00","COMPLETED","",NA,0,"N.Y. POLICE DEPT",341,"MISDEMEANOR","FRONT OF","PETIT LARCENY","","PATROL BORO QUEENS NORTH",321,"LARCENY,PETIT FROM AUTO","RESIDENCE-HOUSE","2019-01-03T00:00:00.000","","","","",NA,"65+","WHITE","M",1036668,222994,40.7785960950001,-73.810735133,"(40.778596095, -73.810735133)"
"843",907661484,102,"QUEENS","2019-01-29T00:00:00.000","15:30:00","2019-01-29T00:00:00.000","15:31:00","COMPLETED","",NA,0,"N.Y. POLICE DEPT",578,"VIOLATION","INSIDE","HARRASSMENT 2","","PATROL BORO QUEENS SOUTH",638,"HARASSMENT,SUBD 3,4,5","HOSPITAL","2019-01-29T00:00:00.000","","UNKNOWN","UNKNOWN","M",NA,"45-64","ASIAN / PACIFIC ISLANDER","F",1035310,194572,40.7005928730001,-73.815854197,"(40.700592873, -73.815854197)"
"844",824131548,69,"BROOKLYN","2019-03-08T00:00:00.000","14:15:00","2019-03-08T00:00:00.000","14:20:00","COMPLETED","",NA,0,"N.Y. POLICE DEPT",344,"MISDEMEANOR","","ASSAULT 3 & RELATED OFFENSES","","PATROL BORO BKLYN SOUTH",113,"MENACING,UNCLASSIFIED","STREET","2019-03-08T00:00:00.000","","25-44","BLACK","M",NA,"25-44","BLACK","M",1013272,175031,40.647056966,-73.8954179999999,"(40.647056966, -73.895418)"
"845",582673237,18,"MANHATTAN","2019-03-04T00:00:00.000","02:43:00","2019-03-04T00:00:00.000","02:48:00","COMPLETED","",NA,0,"N.Y. POLICE DEPT",109,"FELONY","FRONT OF","GRAND LARCENY","","PATROL BORO MAN SOUTH",439,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED","ATM","2019-03-05T00:00:00.000","","UNKNOWN","UNKNOWN","U",NA,"UNKNOWN","UNKNOWN","D",984966,217544,40.7637926580001,-73.997416757,"(40.763792658, -73.997416757)"
"846",971752196,72,"BROOKLYN","2019-01-26T00:00:00.000","01:00:00","2019-01-26T00:00:00.000","01:05:00","COMPLETED","",NA,0,"N.Y. POLICE DEPT",578,"VIOLATION","INSIDE","HARRASSMENT 2","","PATROL BORO BKLYN SOUTH",638,"HARASSMENT,SUBD 3,4,5","HOSPITAL","2019-01-26T00:00:00.000","","45-64","WHITE","M",NA,"UNKNOWN","WHITE","M",978440,174981,40.64696537,-74.020938277,"(40.64696537, -74.020938277)"
"847",505413694,109,"QUEENS","2019-03-24T00:00:00.000","17:00:00","2019-03-25T00:00:00.000","06:25:00","COMPLETED","",NA,0,"N.Y. POLICE DEPT",341,"MISDEMEANOR","OPPOSITE OF","PETIT LARCENY","","PATROL BORO QUEENS NORTH",321,"LARCENY,PETIT FROM AUTO","STREET","2019-03-25T00:00:00.000","","","","",NA,"25-44","ASIAN / PACIFIC ISLANDER","M",1031718,219912,40.7701647960001,-73.828629882,"(40.770164796, -73.828629882)"
"848",317384949,40,"BRONX","2019-02-28T00:00:00.000","15:11:00","","","COMPLETED","",NA,0,"N.Y. POLICE DEPT",235,"MISDEMEANOR","FRONT OF","DANGEROUS DRUGS","","PATROL BORO BRONX",511,"CONTROLLED SUBSTANCE, POSSESSI","STREET","2019-02-28T00:00:00.000","","25-44","BLACK","M",NA,"UNKNOWN","UNKNOWN","E",1006938,236459,40.815680157,-73.918036016,"(40.815680157, -73.918036016)"
"849",980210798,77,"BROOKLYN","2019-01-31T00:00:00.000","15:40:00","2019-01-31T00:00:00.000","15:40:00","COMPLETED","",NA,0,"N.Y. POLICE DEPT",351,"MISDEMEANOR","","CRIMINAL MISCHIEF & RELATED OF","","PATROL BORO BKLYN NORTH",258,"CRIMINAL MISCHIEF 4TH, GRAFFIT","STREET","2019-01-31T00:00:00.000","","18-24","WHITE","M",NA,"UNKNOWN","UNKNOWN","E",995237,184835,40.6740075230001,-73.960392789,"(40.674007523, -73.960392789)"
"850",100365674,70,"BROOKLYN","2019-02-18T00:00:00.000","13:40:00","2019-02-18T00:00:00.000","13:45:00","COMPLETED","",NA,0,"N.Y. POLICE DEPT",348,"MISDEMEANOR","FRONT OF","VEHICLE AND TRAFFIC LAWS","","PATROL BORO BKLYN SOUTH",916,"LEAVING SCENE-ACCIDENT-PERSONA","STREET","2019-02-18T00:00:00.000","","UNKNOWN","BLACK","M",NA,"25-44","UNKNOWN","M",995871,175003,40.647020039,-73.958124133,"(40.647020039, -73.958124133)"
"851",456372805,120,"STATEN ISLAND","2019-02-08T00:00:00.000","09:35:00","","","COMPLETED","",NA,0,"N.Y. POLICE DEPT",112,"FELONY","FRONT OF","THEFT-FRAUD","","PATROL BORO STATEN ISLAND",739,"FRAUD,UNCLASSIFIED-FELONY","STREET","2019-02-08T00:00:00.000","","45-64","BLACK","M",NA,"45-64","WHITE","M",950749,171393,40.6370556260001,-74.1207072889999,"(40.637055626, -74.120707289)"
"852",983751122,79,"BROOKLYN","2019-03-18T00:00:00.000","02:05:00","2019-03-18T00:00:00.000","02:30:00","COMPLETED","MARCY AVENUE-GREENE AVENUE SITE B",491,2,"N.Y. HOUSING POLICE",578,"VIOLATION","INSIDE","HARRASSMENT 2","","PATROL BORO BKLYN NORTH",638,"HARASSMENT,SUBD 3,4,5","RESIDENCE - PUBLIC HOUSING","2019-03-18T00:00:00.000","","18-24","BLACK","F",NA,"25-44","BLACK","F",998286,189885,40.687864317,-73.9493904839999,"(40.687864317, -73.949390484)"
"853",226173054,103,"QUEENS","2019-01-31T00:00:00.000","17:44:00","2019-01-31T00:00:00.000","17:50:00","COMPLETED","",NA,0,"N.Y. POLICE DEPT",344,"MISDEMEANOR","INSIDE","ASSAULT 3 & RELATED OFFENSES","","PATROL BORO QUEENS SOUTH",101,"ASSAULT 3","RESIDENCE - APT. HOUSE","2019-01-31T00:00:00.000","","18-24","BLACK","F",NA,"25-44","BLACK","F",1042794,192734,40.6955016590001,-73.7888793179999,"(40.695501659, -73.788879318)"
