"","cmplnt_num","cmplnt_fr_dt","cmplnt_fr_tm","cmplnt_to_dt","cmplnt_to_tm","addr_pct_cd","rpt_dt","ky_cd","ofns_desc","pd_cd","pd_desc","crm_atpt_cptd_cd","law_cat_cd","boro_nm","loc_of_occur_desc","prem_typ_desc","juris_desc","jurisdiction_code","parks_nm","hadevelopt","housing_psa","x_coord_cd","y_coord_cd","susp_age_group","susp_race","susp_sex","transit_district","latitude","longitude","lat_lon","patrol_boro","station_name","vic_age_group","vic_race","vic_sex"
"150",430122560,"2018-12-31T00:00:00.000","18:27:00","2018-12-31T00:00:00.000","19:08:00",121,"2018-12-31T00:00:00.000",347,"INTOXICATED & IMPAIRED DRIVING",905,"INTOXICATED DRIVING,ALCOHOL","COMPLETED","MISDEMEANOR","STATEN ISLAND","","STREET","N.Y. POLICE DEPT",0,"","","",937444,165709,"","","",NA,40.621393953,-74.168606375,"(40.621393953, -74.168606375)","PATROL BORO STATEN ISLAND","","UNKNOWN","UNKNOWN","E"
"151",926222924,"2018-12-31T00:00:00.000","10:00:00","2018-12-31T00:00:00.000","23:00:00",109,"2018-12-31T00:00:00.000",351,"CRIMINAL MISCHIEF & RELATED OF",254,"MISCHIEF, CRIMINAL 4, OF MOTOR","COMPLETED","MISDEMEANOR","QUEENS","","STREET","N.Y. POLICE DEPT",0,"","","",1031408,219218,"","","",NA,40.768261609,-73.829753926,"(40.768261609, -73.829753926)","PATROL BORO QUEENS NORTH","","18-24","ASIAN / PACIFIC ISLANDER","M"
"152",647988356,"2018-12-31T00:00:00.000","12:45:00","2018-12-31T00:00:00.000","12:50:00",14,"2018-12-31T00:00:00.000",341,"PETIT LARCENY",333,"LARCENY,PETIT FROM STORE-SHOPL","COMPLETED","MISDEMEANOR","MANHATTAN","INSIDE","DEPARTMENT STORE","N.Y. POLICE DEPT",0,"","","",987220,212676,"18-24","BLACK","F",NA,40.7504307680001,-73.989282176,"(40.750430768, -73.989282176)","PATROL BORO MAN SOUTH","","UNKNOWN","UNKNOWN","D"
"153",362666317,"2018-12-31T00:00:00.000","18:15:00","2018-12-31T00:00:00.000","18:30:00",48,"2018-12-31T00:00:00.000",236,"DANGEROUS WEAPONS",782,"WEAPONS, POSSESSION, ETC","COMPLETED","MISDEMEANOR","BRONX","INSIDE","STORE UNCLASSIFIED","N.Y. POLICE DEPT",0,"","","",1016115,247370,"","","",NA,40.8455993690001,-73.884830275,"(40.845599369, -73.884830275)","PATROL BORO BRONX","","UNKNOWN","UNKNOWN","E"
"154",828180461,"2018-12-31T00:00:00.000","14:05:00","","",44,"2018-12-31T00:00:00.000",117,"DANGEROUS DRUGS",512,"CONTROLLED SUBSTANCE,SALE 1","COMPLETED","FELONY","BRONX","INSIDE","OTHER","N.Y. POLICE DEPT",0,"","","",1004237,238590,"","","",NA,40.821535676,-73.927787627,"(40.821535676, -73.927787627)","PATROL BORO BRONX","","UNKNOWN","UNKNOWN","E"
"155",765944740,"2018-12-31T00:00:00.000","12:54:00","2018-12-31T00:00:00.000","12:58:00",20,"2018-12-31T00:00:00.000",341,"PETIT LARCENY",333,"LARCENY,PETIT FROM STORE-SHOPL","COMPLETED","MISDEMEANOR","MANHATTAN","INSIDE","DRUG STORE","N.Y. POLICE DEPT",0,"","","",989211,222871,"25-44","BLACK","M",NA,40.778412523,-73.98208877,"(40.778412523, -73.98208877)","PATROL BORO MAN NORTH","","UNKNOWN","UNKNOWN","D"
"156",637872275,"2018-12-31T00:00:00.000","20:10:00","2018-12-31T00:00:00.000","20:12:00",113,"2018-12-31T00:00:00.000",105,"ROBBERY",379,"ROBBERY,GAS STATION","COMPLETED","FELONY","QUEENS","INSIDE","GAS STATION","N.Y. POLICE DEPT",0,"","","",1050202,193549,"UNKNOWN","BLACK","M",NA,40.697686531,-73.762156637,"(40.697686531, -73.762156637)","PATROL BORO QUEENS SOUTH","","UNKNOWN","UNKNOWN","D"
"157",829786983,"2018-12-31T00:00:00.000","03:03:00","2018-12-31T00:00:00.000","03:08:00",47,"2018-12-31T00:00:00.000",344,"ASSAULT 3 & RELATED OFFENSES",101,"ASSAULT 3","COMPLETED","MISDEMEANOR","BRONX","INSIDE","RESIDENCE-HOUSE","N.Y. POLICE DEPT",0,"","","",1024874,265950,"45-64","BLACK","M",NA,40.896559766,-73.8530596109999,"(40.896559766, -73.853059611)","PATROL BORO BRONX","","45-64","BLACK","M"
"158",521444850,"2018-12-31T00:00:00.000","12:30:00","2018-12-31T00:00:00.000","12:35:00",49,"2018-12-31T00:00:00.000",578,"HARRASSMENT 2",638,"HARASSMENT,SUBD 3,4,5","COMPLETED","VIOLATION","BRONX","FRONT OF","STREET","N.Y. POLICE DEPT",0,"","","",1020860,251010,"UNKNOWN","WHITE HISPANIC","M",NA,40.855571684,-73.8676603449999,"(40.855571684, -73.867660345)","PATROL BORO BRONX","","25-44","WHITE","M"
"159",441005276,"2018-12-31T00:00:00.000","22:45:00","2018-12-31T00:00:00.000","22:50:00",110,"2018-12-31T00:00:00.000",578,"HARRASSMENT 2",638,"HARASSMENT,SUBD 3,4,5","COMPLETED","VIOLATION","QUEENS","","STREET","N.Y. POLICE DEPT",0,"","","",1018316,206319,"18-24","ASIAN / PACIFIC ISLANDER","U",NA,40.732917284,-73.8770832979999,"(40.732917284, -73.877083298)","PATROL BORO QUEENS NORTH","","25-44","ASIAN / PACIFIC ISLANDER","M"
