"","incident_key","occur_date","occur_time","boro","precinct","jurisdiction_code","location_desc","statistical_murder_flag","perp_age_group","perp_sex","perp_race","vic_age_group","vic_sex","vic_race","x_coord_cd","y_coord_cd","latitude","longitude"
"64",198255470,"2019-06-09T00:00:00.000","22:20:00","BRONX",42,0,"","false","","","","18-24","M","BLACK",1015667,243850,40.8359396060001,-73.886465989
"65",198255468,"2019-06-09T00:00:00.000","22:13:00","QUEENS",103,2,"MULTI DWELL - PUBLIC HOUS","false","","","","18-24","M","BLACK",1041409,193095,40.6965015710001,-73.7938708419999
"66",198255469,"2019-06-09T00:00:00.000","20:01:00","BRONX",52,0,"","false","18-24","M","BLACK HISPANIC","25-44","M","WHITE HISPANIC",1010327,253958,40.863700447,-73.905724473
"67",198255466,"2019-06-09T00:00:00.000","02:25:00","MANHATTAN",25,2,"MULTI DWELL - PUBLIC HOUS","false","","","","25-44","F","BLACK",1000980,231749,40.802765805,-73.939572343
"68",198255467,"2019-06-08T00:00:00.000","22:44:00","STATEN ISLAND",120,0,"","false","18-24","M","BLACK","25-44","M","BLACK",951610,171560,40.6375172200001,-74.1176058729999
"69",198255459,"2019-06-08T00:00:00.000","05:05:00","MANHATTAN",33,0,"","true","18-24","M","BLACK","18-24","M","WHITE HISPANIC",1001264,244950,40.8389982780001,-73.938513061
"70",198255459,"2019-06-08T00:00:00.000","05:05:00","MANHATTAN",33,0,"","true","18-24","M","BLACK HISPANIC","18-24","M","WHITE HISPANIC",1001264,244950,40.8389982780001,-73.938513061
"71",198255465,"2019-06-08T00:00:00.000","02:55:00","BROOKLYN",79,0,"MULTI DWELL - APT BUILD","false","","","","45-64","F","BLACK",995826,188145,40.683091974,-73.958263731
"72",198255463,"2019-06-08T00:00:00.000","00:40:00","BROOKLYN",79,0,"","false","","","","45-64","M","BLACK",995908,187609,40.681620668,-73.957969005
"73",198255461,"2019-06-07T00:00:00.000","22:25:00","BROOKLYN",79,2,"MULTI DWELL - PUBLIC HOUS","false","","","","18-24","F","BLACK",999382,190051,40.6883181430001,-73.94543816
"74",198255461,"2019-06-07T00:00:00.000","22:25:00","BROOKLYN",79,2,"MULTI DWELL - PUBLIC HOUS","false","","","","18-24","M","BLACK",999382,190051,40.6883181430001,-73.94543816
"75",198255460,"2019-06-07T00:00:00.000","17:50:00","BROOKLYN",73,0,"","false","45-64","M","WHITE HISPANIC","25-44","M","BLACK",1009650,186966,40.679827016,-73.908425239
"76",198255460,"2019-06-07T00:00:00.000","17:50:00","BROOKLYN",73,0,"","false","45-64","M","WHITE HISPANIC","25-44","M","WHITE HISPANIC",1009650,186966,40.679827016,-73.908425239
"77",198255458,"2019-06-07T00:00:00.000","17:08:00","MANHATTAN",23,2,"MULTI DWELL - PUBLIC HOUS","false","<18","M","BLACK","45-64","F","BLACK",997920,227368,40.7907464140001,-73.9506340419999
"78",198255457,"2019-06-07T00:00:00.000","10:30:00","BROOKLYN",75,0,"PVT HOUSE","false","25-44","M","BLACK","45-64","M","BLACK",1020467,183148,40.6693098270001,-73.869446597
"79",198171739,"2019-06-07T00:00:00.000","00:15:00","BRONX",49,2,"MULTI DWELL - PUBLIC HOUS","false","25-44","M","BLACK","25-44","M","BLACK",1025619,256059,40.8694086310001,-73.850425952
"80",198171739,"2019-06-07T00:00:00.000","00:15:00","BRONX",49,2,"MULTI DWELL - PUBLIC HOUS","true","25-44","M","BLACK","25-44","M","BLACK",1025619,256059,40.8694086310001,-73.850425952
"81",198171739,"2019-06-07T00:00:00.000","00:15:00","BRONX",49,2,"MULTI DWELL - PUBLIC HOUS","false","25-44","M","BLACK","45-64","M","BLACK",1025619,256059,40.8694086310001,-73.850425952
"82",198171739,"2019-06-07T00:00:00.000","00:15:00","BRONX",49,2,"MULTI DWELL - PUBLIC HOUS","true","25-44","M","BLACK","45-64","M","BLACK",1025619,256059,40.8694086310001,-73.850425952
"83",198159775,"2019-06-06T00:00:00.000","17:30:00","BROOKLYN",70,0,"","false","18-24","M","BLACK","18-24","M","BLACK",998712,170677,40.635141912,-73.947895611
"84",198159773,"2019-06-06T00:00:00.000","00:56:00","BROOKLYN",79,2,"MULTI DWELL - PUBLIC HOUS","false","25-44","M","BLACK","25-44","M","BLACK",998989,189991,40.68815412,-73.946855378
"85",198107751,"2019-06-05T00:00:00.000","23:38:00","QUEENS",105,0,"PVT HOUSE","false","","","","65+","F","BLACK",1053432,185858,40.6765519190001,-73.750587218
"86",198107752,"2019-06-05T00:00:00.000","12:20:00","BRONX",40,2,"MULTI DWELL - PUBLIC HOUS","false","18-24","M","BLACK","<18","M","BLACK",1007373,232752,40.8055043470001,-73.9164772519999
"87",198107752,"2019-06-05T00:00:00.000","12:20:00","BRONX",40,2,"MULTI DWELL - PUBLIC HOUS","false","25-44","M","BLACK","<18","M","BLACK",1007373,232752,40.8055043470001,-73.9164772519999
"88",198107752,"2019-06-05T00:00:00.000","12:20:00","BRONX",40,2,"MULTI DWELL - PUBLIC HOUS","false","25-44","M","WHITE HISPANIC","<18","M","BLACK",1007373,232752,40.8055043470001,-73.9164772519999
"89",198052649,"2019-06-04T00:00:00.000","22:50:00","BROOKLYN",88,2,"MULTI DWELL - PUBLIC HOUS","false","<18","M","BLACK","18-24","M","BLACK",990007,192515,40.695092317,-73.979240625
"90",198052648,"2019-06-04T00:00:00.000","19:58:00","BRONX",52,0,"","false","","","","25-44","M","WHITE HISPANIC",1011095,253282,40.86184273,-73.902950609
"91",198052647,"2019-06-04T00:00:00.000","19:56:00","BROOKLYN",90,2,"MULTI DWELL - PUBLIC HOUS","false","18-24","M","BLACK","<18","F","BLACK",1001414,195664,40.703720817,-73.938096831
"92",198055667,"2019-06-04T00:00:00.000","02:00:00","BRONX",52,0,"","false","","","","25-44","F","WHITE HISPANIC",1013735,255974,40.869223027,-73.893394567
"93",197997726,"2019-06-03T00:00:00.000","23:05:00","BRONX",46,0,"MULTI DWELL - APT BUILD","false","","","","18-24","M","WHITE HISPANIC",1013293,252852,40.8606555530001,-73.895006204
"94",197997725,"2019-06-03T00:00:00.000","07:07:00","BROOKLYN",75,2,"MULTI DWELL - PUBLIC HOUS","false","25-44","M","BLACK","18-24","M","BLACK",1016409,178125,40.655538482,-73.884098793
"95",197953468,"2019-06-02T00:00:00.000","22:15:00","BROOKLYN",75,0,"","true","","","","25-44","M","BLACK",1021396,183855,40.671246534,-73.8660938529999
"96",197953470,"2019-06-02T00:00:00.000","01:56:00","BRONX",41,0,"","false","18-24","M","WHITE HISPANIC","18-24","M","WHITE HISPANIC",1011153,235312,40.8125201340001,-73.902813002
"97",197953469,"2019-06-01T00:00:00.000","23:11:00","BROOKLYN",75,0,"RESTAURANT/DINER","false","45-64","M","WHITE HISPANIC","25-44","M","WHITE HISPANIC",1012920,183086,40.6691673070001,-73.896652217
"98",197953465,"2019-06-01T00:00:00.000","22:20:00","BROOKLYN",71,0,"","false","","","","18-24","M","BLACK",1003286,181971,40.666132836,-73.93138386
